epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2353,1.39141,3.53456,1.37452,0.01991,0.79521,0.0805,0.04449,1.08657,3.56034,1.0399,0.0002375,0.0002375,0.0002375
2,123.991,1.23443,1.98147,1.1223,0.48336,0.28379,0.43378,0.27012,1.24811,2.41691,1.09191,0.000463369,0.000463369,0.000463369
3,178.035,1.17829,1.48745,1.10376,0.51566,0.44099,0.47274,0.30967,1.22869,2.12825,1.11384,0.000664488,0.000664488,0.000664488
4,231.11,1.11703,1.32062,1.10414,0.5583,0.51278,0.56369,0.35699,1.22505,1.68278,1.12646,0.000840856,0.000840856,0.000840856
5,284.929,1.13183,1.27842,1.09333,0.61957,0.60888,0.62491,0.39758,1.18479,1.50908,1.10508,0.000992475,0.000992475,0.000992475
6,338.613,1.08463,1.15098,1.075,0.61696,0.71866,0.73714,0.47687,1.14058,1.37332,1.08589,0.000940625,0.000940625,0.000940625
7,391.835,1.04888,1.07282,1.06554,0.76133,0.71568,0.77127,0.51846,1.0925,1.18012,1.06842,0.00087875,0.00087875,0.00087875
8,444.337,1.05527,1.0192,1.0768,0.65034,0.72248,0.71937,0.48478,1.13968,1.32566,1.10037,0.000816875,0.000816875,0.000816875
9,497.155,1.04879,0.95889,1.05802,0.77997,0.72918,0.78512,0.53736,1.09538,1.05037,1.09817,0.000755,0.000755,0.000755
10,550.338,1.01366,0.95192,1.05004,0.75123,0.71929,0.78643,0.53648,1.10356,1.16353,1.07999,0.000693125,0.000693125,0.000693125
11,604.405,0.97247,0.9789,1.01432,0.77141,0.73361,0.77281,0.53311,1.10391,1.27026,1.09101,0.00063125,0.00063125,0.00063125
12,667.461,0.93797,0.90205,1.01183,0.81748,0.69892,0.80389,0.53291,1.10521,1.10427,1.09138,0.000569375,0.000569375,0.000569375
13,730.992,0.92509,0.85101,0.99586,0.77379,0.77761,0.82214,0.56075,1.06891,1.00843,1.06628,0.0005075,0.0005075,0.0005075
14,791.28,0.91815,0.82113,0.99703,0.80978,0.75373,0.81501,0.54701,1.08931,1.01412,1.07083,0.000445625,0.000445625,0.000445625
15,853.041,0.90909,0.7789,0.97685,0.79896,0.80627,0.84104,0.58317,1.03721,0.955,1.05557,0.00038375,0.00038375,0.00038375
16,906.669,0.89204,0.75162,0.97222,0.79785,0.82911,0.85351,0.60072,1.01573,0.90471,1.04548,0.000321875,0.000321875,0.000321875
17,959.735,0.85364,0.71304,0.95618,0.8234,0.80493,0.85048,0.59705,1.01066,0.88713,1.03436,0.00026,0.00026,0.00026
18,1013.37,0.84647,0.71321,0.95592,0.8372,0.8155,0.85402,0.59792,1.0163,0.87573,1.0372,0.000198125,0.000198125,0.000198125
19,1066.28,0.82206,0.69275,0.94892,0.83291,0.83133,0.85041,0.6011,1.01207,0.85822,1.03842,0.00013625,0.00013625,0.00013625
20,1118.79,0.82419,0.68036,0.95253,0.84398,0.80906,0.84677,0.59968,1.00241,0.85133,1.0359,7.4375e-05,7.4375e-05,7.4375e-05
