ID,Cámara,Tipo,Timestamp,Descripción,Status,Usuario Identificado
1,Cámara 1,Falta EPP,2025-10-16 19:10:17,Falta equipo de protección,open,
6,Cámara 1,Intrusión,2025-10-16 19:49:48,Intrusión detectada,open,unknown
