epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.737,1.42043,3.53825,1.36668,0.01748,0.74562,0.07759,0.04774,1.08866,3.53938,1.02609,0.0002375,0.0002375,0.0002375
2,237.696,1.22304,1.96721,1.12942,0.76642,0.26946,0.4418,0.29596,1.17893,2.49171,1.05296,0.000463369,0.000463369,0.000463369
3,354.877,1.22406,1.51424,1.12899,0.51243,0.49931,0.47283,0.31281,1.23312,1.94118,1.14255,0.000664488,0.000664488,0.000664488
4,470.076,1.13238,1.34797,1.11475,0.53593,0.49259,0.47568,0.29335,1.24241,1.73479,1.14482,0.000840856,0.000840856,0.000840856
