epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0747,1.39141,3.53456,1.37452,0.01991,0.79521,0.0805,0.04449,1.08657,3.56034,1.0399,0.0002375,0.0002375,0.0002375
2,96.2822,1.23667,1.97346,1.12192,0.5099,0.34128,0.43382,0.27319,1.2577,2.40235,1.09578,0.000475434,0.000475434,0.000475434
3,140.766,1.18735,1.47752,1.10407,0.52416,0.38329,0.41949,0.27351,1.29073,2.29516,1.17395,0.000700994,0.000700994,0.000700994
4,184.913,1.12928,1.32773,1.10844,0.55907,0.64281,0.60599,0.38239,1.21604,1.54034,1.12313,0.000914178,0.000914178,0.000914178
5,229.585,1.14569,1.27976,1.09514,0.55697,0.55819,0.53314,0.334,1.21736,1.60172,1.13125,0.00111499,0.00111499,0.00111499
6,275.094,1.087,1.16207,1.0741,0.71161,0.64624,0.73584,0.48074,1.14351,1.38394,1.09676,0.00109531,0.00109531,0.00109531
7,321.443,1.06323,1.09142,1.07096,0.74143,0.68751,0.70792,0.44898,1.15182,1.32205,1.11435,0.00106437,0.00106437,0.00106437
8,366.998,1.08201,1.04814,1.08953,0.6476,0.70517,0.69422,0.45599,1.14923,1.29193,1.11205,0.00103344,0.00103344,0.00103344
9,407.268,1.07926,0.98678,1.07027,0.79753,0.69272,0.76267,0.49564,1.16924,1.09154,1.12888,0.0010025,0.0010025,0.0010025
10,446.434,1.04182,0.97778,1.06318,0.73595,0.65995,0.75387,0.49126,1.15754,1.19095,1.11697,0.000971562,0.000971562,0.000971562
11,485.932,1.03333,0.92673,1.05041,0.77351,0.69314,0.77063,0.51254,1.11762,1.10686,1.10135,0.000940625,0.000940625,0.000940625
12,527.52,1.04893,0.94646,1.06479,0.76225,0.69154,0.74096,0.49588,1.12108,1.14919,1.1055,0.000909688,0.000909688,0.000909688
13,568.752,1.01317,0.90024,1.05759,0.79786,0.70967,0.76504,0.51736,1.1135,1.10133,1.10022,0.00087875,0.00087875,0.00087875
14,608.867,1.00201,0.88746,1.04799,0.84398,0.733,0.80963,0.5652,1.07376,0.9749,1.08442,0.000847813,0.000847813,0.000847813
15,650.075,0.98091,0.85497,1.02196,0.79884,0.71897,0.7911,0.56118,1.07741,1.03731,1.0686,0.000816875,0.000816875,0.000816875
16,690.574,0.98678,0.8454,1.04943,0.73512,0.77109,0.78183,0.53941,1.07739,1.05413,1.08662,0.000785938,0.000785938,0.000785938
17,730.842,1.00459,0.83538,1.03347,0.84382,0.74205,0.81695,0.57313,1.07676,0.92033,1.06121,0.000755,0.000755,0.000755
18,771.962,0.94879,0.78329,1.01171,0.8227,0.73252,0.81178,0.57009,1.04651,0.92352,1.05684,0.000724062,0.000724062,0.000724062
19,812.35,0.95395,0.77534,1.02422,0.77556,0.77374,0.81694,0.56046,1.07194,0.93983,1.07314,0.000693125,0.000693125,0.000693125
20,851.768,0.94477,0.77274,1.02448,0.81746,0.80515,0.84276,0.57911,1.06905,0.90605,1.08055,0.000662188,0.000662188,0.000662188
