epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,891.165,0.92683,0.74071,1.01728,0.86111,0.74633,0.83034,0.57665,1.04672,0.88391,1.07386,0.00063125,0.00063125,0.00063125
22,932.625,0.91537,0.75718,1.0058,0.82804,0.7868,0.81611,0.56778,1.04645,0.87907,1.06906,0.000600313,0.000600313,0.000600313
23,973.365,0.86794,0.72019,0.99482,0.79247,0.79558,0.82518,0.57981,1.05374,0.88677,1.07309,0.000569375,0.000569375,0.000569375
24,1012.86,0.91442,0.71176,1.00041,0.78464,0.78272,0.82545,0.58211,1.04912,0.89492,1.06675,0.000538438,0.000538438,0.000538438
25,1052.33,0.87735,0.705,0.99983,0.79414,0.80442,0.83338,0.5765,1.06361,0.85568,1.07804,0.0005075,0.0005075,0.0005075
26,1091.7,0.86571,0.68783,0.99029,0.80852,0.80084,0.83397,0.59068,1.04266,0.84837,1.07302,0.000476562,0.000476562,0.000476562
27,1131.48,0.87643,0.69219,0.99408,0.82324,0.78057,0.83087,0.58634,1.06608,0.88141,1.07806,0.000445625,0.000445625,0.000445625
28,1171.47,0.87411,0.68467,0.98363,0.82128,0.78905,0.84084,0.58867,1.04729,0.82514,1.08289,0.000414688,0.000414688,0.000414688
29,1211.62,0.85297,0.65696,0.98811,0.79855,0.81102,0.83135,0.58968,1.03363,0.82032,1.06958,0.00038375,0.00038375,0.00038375
30,1251.53,0.87624,0.68588,0.9898,0.83917,0.81183,0.84308,0.59254,1.03383,0.80329,1.06677,0.000352812,0.000352812,0.000352812
31,1290.86,0.79967,0.66274,0.94878,0.86575,0.78083,0.81982,0.57956,1.05198,0.95078,1.07131,0.000321875,0.000321875,0.000321875
32,1329.98,0.79424,0.63022,0.93718,0.82815,0.78532,0.82602,0.57555,1.04268,0.83718,1.07685,0.000290937,0.000290937,0.000290937
33,1369.09,0.78319,0.60045,0.94202,0.8698,0.8065,0.85748,0.59737,1.04995,0.80718,1.07519,0.00026,0.00026,0.00026
34,1410.16,0.77199,0.58561,0.92902,0.82545,0.82467,0.84819,0.58898,1.03481,0.79627,1.07151,0.000229063,0.000229063,0.000229063
35,1450.3,0.75081,0.55622,0.92618,0.87595,0.76259,0.83954,0.58559,1.0342,0.78652,1.067,0.000198125,0.000198125,0.000198125
36,1489.54,0.7344,0.53752,0.91649,0.8531,0.77433,0.83194,0.58172,1.02415,0.78468,1.06743,0.000167188,0.000167188,0.000167188
37,1529.9,0.74205,0.54428,0.91946,0.84893,0.79781,0.83986,0.59114,1.02109,0.77886,1.06466,0.00013625,0.00013625,0.00013625
38,1569.02,0.72067,0.52718,0.90582,0.84948,0.79999,0.84547,0.59788,1.02559,0.76845,1.06989,0.000105312,0.000105312,0.000105312
39,1608.43,0.72887,0.5175,0.90809,0.82411,0.83043,0.85062,0.59482,1.02568,0.76642,1.06842,7.4375e-05,7.4375e-05,7.4375e-05
40,1648.99,0.71997,0.51811,0.9057,0.82987,0.81871,0.84971,0.5916,1.03174,0.76858,1.07171,4.34375e-05,4.34375e-05,4.34375e-05
