epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6398,1.39141,3.53456,1.37452,0.01991,0.79521,0.0805,0.04449,1.08657,3.56034,1.0399,0.0002375,0.0002375,0.0002375
2,98.4929,1.23445,2.02377,1.12353,0.56435,0.24863,0.43126,0.27488,1.21466,2.52293,1.08485,0.000390975,0.000390975,0.000390975
3,151.215,1.16344,1.49657,1.09037,0.52833,0.49071,0.49705,0.31355,1.27166,2.12201,1.13055,0.00044545,0.00044545,0.00044545
4,202.473,1.10211,1.31656,1.08503,0.58228,0.51736,0.58833,0.40525,1.15217,1.57939,1.0764,0.000400925,0.000400925,0.000400925
5,254.061,1.07663,1.23265,1.0691,0.66961,0.699,0.70911,0.47034,1.11814,1.35059,1.05303,0.0002574,0.0002574,0.0002574
